"id","tree","Sp","x","y","h.dist","dbh","h","dead","v.user","w.user"
7,5,21,-7.9035000000149,2.63200000021607,8.330230264,34,16,NA,NA,0.2848384
7,6,21,8.12749999994412,3.41799999959767,8.816971149,25.8,10.5,NA,NA,0.107633988
7,7,21,-5.6765000000596,8.6609999993816,10.35546103,28.9,13.9,NA,NA,0.1787850526
7,8,21,-11.2434999999823,-2.74899999983609,11.57468329,31.5,14,NA,NA,0.2139291
7,9,21,-11.1465000000317,3.1359999999404,11.57924688,32.5,13.9,NA,NA,0.226100875
7,10,21,-8.26049999997485,-8.3620000006631,11.75410159,33.4,13.8,NA,NA,0.2370788112
7,11,21,-10.3425000000279,6.97099999990314,12.47245554,24,14.5,NA,NA,0.1286208
7,12,21,6.6315000000177,-10.6589999999851,12.55352832,29.7,14.8,NA,NA,0.2010459528
7,13,21,-3.73950000002515,12.359999999404,12.91330555,32,14.8,NA,NA,0.23339008
7,14,21,-8.70350000006147,10.3369999993593,13.51312256,24,12,NA,NA,0.1064448
7,15,21,-5.76450000004843,12.6589999999851,13.90969954,31.6,14.8,NA,NA,0.2275917952
7,16,21,12.6034999999683,6.1039999993518,14.00382192,34,14.4,NA,NA,0.25635456
7,17,21,-10.6175000000512,9.29399999976158,14.11062515,29.5,11.5,NA,NA,0.154121275
7,18,21,-13.8085000000428,6.15400000009686,15.11775077,23.1,12.7,NA,NA,0.1043634438
7,19,21,11.8024999999907,10.0410000002012,15.49582806,26,13.2,NA,NA,0.13741728
7,20,21,10.3994999999413,-11.6910000005737,15.64701509,42.5,16.3,NA,NA,0.453404875
7,21,21,7.24049999995623,-14.8840000005439,16.5516856,37.8,15.1,NA,NA,0.3322624536
7,22,21,-12.0864999999758,-11.8610000004992,16.93419036,37.4,15.2,NA,NA,0.3274217408
7,23,21,14.6755000000121,8.5339999999851,16.97643827,28,14.3,NA,NA,0.17265248
7,24,21,6.0975000000326,15.9720000000671,17.09632388,36.5,13.6,NA,NA,0.27902644
7,25,21,-4.70850000006612,16.5460000000894,17.2029093,36,14.4,NA,NA,0.28740096
7,26,21,17.0605000000214,4.45999999996275,17.6338385,27,13.2,NA,NA,0.14819112
7,27,21,-17.9145000000717,-1.18699999991804,17.95378175,32.1,15.3,NA,NA,0.2427852042
7,28,21,14.4305000000168,11.1469999998808,18.23444376,26.5,14.3,NA,NA,0.154649495
7,29,21,5.94349999993574,-17.2560000000522,18.25088294,34.8,15.6,NA,NA,0.2909402496
7,30,21,-17.6524999999674,-5.52900000009686,18.49812415,31.6,14.7,NA,NA,0.2260540128
7,31,21,10.968499999959,14.9709999999031,18.55906337,29.5,15.2,NA,NA,0.20370812
7,32,21,17.5374999999767,7.48099999967963,19.06644349,30.3,14.9,NA,NA,0.2106649314
7,33,21,0.877499999944121,-19.0860000001267,19.10616137,42,14.4,NA,NA,0.39118464
7,34,21,-11.0274999999674,15.7029999997467,19.18827677,30.3,15.3,NA,NA,0.2163203658
7,35,21,-16.126500000013,11.2939999997616,19.68802779,35.9,14.3,NA,NA,0.2838217382
8,1,21,-3.89769999997225,2.77400000020862,4.78405072,32.6,16.8,NA,NA,0.2749572672
8,2,21,5.16729999997187,-0.16399999987334,5.169901865,23.1,12.7,NA,NA,0.1043634438
8,3,21,2.84930000000168,4.97599999979138,5.734028818,35.9,14.3,NA,NA,0.2838217382
8,4,21,-5.99069999996573,-2.37000000011176,6.442467423,30.8,18.3,NA,NA,0.2673457248
8,5,21,-3.30270000000019,6.04199999943376,6.885752775,25.5,14.9,NA,NA,0.149206365
8,6,21,-7.2227000000421,-0.0679999999701977,7.223020095,33.5,17.7,NA,NA,0.305902905
8,7,21,1.061299999943,-7.50499999988824,7.579669036,32.1,15.3,NA,NA,0.2427852042
8,8,21,7.82929999998305,-3.1820000000298,8.451216628,32.5,13.9,NA,NA,0.226100875
8,9,21,8.63329999998678,0.652999999932945,8.657960377,24,14.5,NA,NA,0.1286208
8,10,21,-6.94469999999274,5.45099999941885,8.828491325,22,16,NA,NA,0.1192576
8,11,21,8.35829999996349,2.97599999979138,8.872302682,29.5,11.5,NA,NA,0.154121275
8,12,21,-6.21970000001602,6.69900000002235,9.141185322,25.5,14.7,NA,NA,0.147203595
8,13,21,-9.70770000002813,-4.33300000056624,10.63081974,26.8,17.7,NA,NA,0.1957778592
8,14,21,10.2722999999532,4.01899999938905,11.0305262,24,12,NA,NA,0.1064448
8,15,21,-11.3187000000617,-1.20800000056624,11.38298,41,20,NA,NA,0.517748
8,16,21,11.0722999999998,-3.68599999975413,11.6697225,34,16,NA,NA,0.2848384
8,17,21,-10.3806999999797,-5.60300000011921,11.79629355,22.2,18.3,NA,NA,0.1388921688
8,18,21,7.73230000003241,-9.06699999980628,11.91633133,31.5,14,NA,NA,0.2139291
8,19,21,1.32330000004731,-11.8470000000671,11.92067665,31.6,14.7,NA,NA,0.2260540128
8,20,21,7.94830000004731,9.38499999977648,12.29852422,30.3,15.3,NA,NA,0.2163203658
8,21,21,-6.51769999996759,-10.4830000000075,12.34397433,37.6,17,NA,NA,0.370122368
8,22,21,-10.624700000044,8.29299999959767,13.47805992,28.1,16.3,NA,NA,0.1982079022
8,23,21,13.2992999999551,2.3429999994114,13.50411158,28.9,13.9,NA,NA,0.1787850526
8,24,21,11.3503000000492,-8.89199999999255,14.41863288,31.5,15.7,NA,NA,0.239906205
8,25,21,-14.3386999999639,2.69900000002235,14.59050783,34,17.4,NA,NA,0.30976176
8,26,21,13.2112999999663,6.3410000000149,14.65423927,31.6,14.8,NA,NA,0.2275917952
